date,city,vegetable,wholesale_price,volume_kg,origin_province
2019-10-15,Beijing,白菜,1.37,2835,Shandong
2019-10-16,Beijing,白菜,1.44,2929,Sichuan
2019-10-17,Beijing,白菜,1.76,2479,Hebei
2019-10-18,Beijing,白菜,1.55,2410,Shandong
2019-10-19,Beijing,白菜,1.67,2520,Sichuan
2019-10-20,Beijing,白菜,1.67,2623,Shandong
2019-10-21,Beijing,白菜,1.46,2727,Sichuan
2019-10-22,Beijing,白菜,1.46,2614,Guangdong
2019-10-23,Beijing,白菜,1.51,2114,Guangdong
2019-10-24,Beijing,白菜,1.67,2667,Henan
2019-10-25,Beijing,白菜,1.66,1932,Henan
2019-10-26,Beijing,白菜,1.78,2018,Guangdong
2019-10-27,Beijing,白菜,1.76,2172,Hebei
2019-10-28,Beijing,白菜,1.74,2497,Sichuan
2019-10-29,Beijing,白菜,1.74,2478,Sichuan
2019-10-30,Beijing,白菜,1.64,2694,Sichuan
2019-10-31,Beijing,白菜,1.86,1817,Shandong
2019-11-01,Beijing,白菜,1.47,2342,Henan
2019-11-02,Beijing,白菜,1.94,2217,Henan
2019-11-03,Beijing,白菜,2.0,1695,Shandong
2019-11-04,Beijing,白菜,1.63,2736,Sichuan
2019-11-05,Beijing,白菜,1.89,2496,Sichuan
2019-11-06,Beijing,白菜,1.59,2228,Hebei
2019-11-07,Beijing,白菜,1.93,2386,Sichuan
2019-11-08,Beijing,白菜,1.42,2743,Henan
2019-11-09,Beijing,白菜,1.68,1915,Sichuan
2019-11-10,Beijing,白菜,1.53,2496,Henan
2019-11-11,Beijing,白菜,1.57,2212,Sichuan
2019-11-12,Beijing,白菜,1.83,2446,Guangdong
2019-11-13,Beijing,白菜,1.63,2888,Sichuan
2019-11-14,Beijing,白菜,1.66,2294,Shandong
2019-11-15,Beijing,白菜,1.7,2104,Guangdong
2019-11-16,Beijing,白菜,1.86,1953,Sichuan
2019-11-17,Beijing,白菜,1.99,2080,Henan
2019-11-18,Beijing,白菜,1.61,2580,Guangdong
2019-11-19,Beijing,白菜,1.77,2285,Shandong
2019-11-20,Beijing,白菜,1.66,2533,Guangdong
2019-11-21,Beijing,白菜,1.91,1840,Shandong
2019-11-22,Beijing,白菜,1.82,2235,Hebei
2019-11-23,Beijing,白菜,1.93,2164,Hebei
2019-11-24,Beijing,白菜,2.04,2312,Sichuan
2019-11-25,Beijing,白菜,1.56,2800,Hebei
2019-11-26,Beijing,白菜,1.88,2216,Guangdong
2019-11-27,Beijing,白菜,1.89,1952,Sichuan
2019-11-28,Beijing,白菜,1.95,2200,Hebei
2019-11-29,Beijing,白菜,1.81,2420,Hebei
2019-11-30,Beijing,白菜,2.19,2120,Guangdong
2019-12-01,Beijing,白菜,2.34,1902,Hebei
2019-12-02,Beijing,白菜,1.9,2057,Shandong
2019-12-03,Beijing,白菜,2.41,1667,Shandong
2019-12-04,Beijing,白菜,1.69,1975,Guangdong
2019-12-05,Beijing,白菜,1.54,2460,Shandong
2019-12-06,Beijing,白菜,2.15,1878,Henan
2019-12-07,Beijing,白菜,2.17,1895,Hebei
2019-12-08,Beijing,白菜,1.86,2042,Guangdong
2019-12-09,Beijing,白菜,1.97,1842,Guangdong
2019-12-10,Beijing,白菜,2.14,1755,Henan
2019-12-11,Beijing,白菜,2.03,1872,Shandong
2019-12-12,Beijing,白菜,1.85,2116,Henan
2019-12-13,Beijing,白菜,2.07,2009,Hebei
2019-12-14,Beijing,白菜,2.35,1687,Hebei
2019-12-15,Beijing,白菜,1.98,2034,Guangdong
2019-12-16,Beijing,白菜,2.06,1949,Hebei
2019-12-17,Beijing,白菜,1.89,2212,Hebei
2019-12-18,Beijing,白菜,2.03,2116,Shandong
2019-12-19,Beijing,白菜,2.26,1609,Sichuan
2019-12-20,Beijing,白菜,1.99,2063,Sichuan
2019-12-21,Beijing,白菜,2.03,1921,Hebei
2019-12-22,Beijing,白菜,2.17,1929,Hebei
2019-12-23,Beijing,白菜,1.97,1883,Henan
2019-12-24,Beijing,白菜,2.38,1396,Hebei
2019-12-25,Beijing,白菜,2.23,1657,Henan
2019-12-26,Beijing,白菜,2.45,1567,Henan
2019-12-27,Beijing,白菜,2.28,2043,Guangdong
2019-12-28,Beijing,白菜,2.2,1630,Henan
2019-12-29,Beijing,白菜,2.15,2251,Sichuan
2019-12-30,Beijing,白菜,2.12,2017,Guangdong
2019-12-31,Beijing,白菜,2.5,1736,Sichuan
2020-01-01,Beijing,白菜,2.45,1437,Sichuan
2020-01-02,Beijing,白菜,2.53,1647,Sichuan
2020-01-03,Beijing,白菜,2.36,1705,Guangdong
2020-01-04,Beijing,白菜,2.28,1847,Shandong
2020-01-05,Beijing,白菜,2.65,1462,Hebei
2020-01-06,Beijing,白菜,2.31,1800,Guangdong
2020-01-07,Beijing,白菜,2.46,1749,Hebei
2020-01-08,Beijing,白菜,2.71,1536,Shandong
2020-01-09,Beijing,白菜,2.39,1837,Sichuan
2020-01-10,Beijing,白菜,2.19,1665,Shandong
2020-01-11,Beijing,白菜,2.28,1631,Hebei
2020-01-12,Beijing,白菜,2.31,1360,Sichuan
2020-01-13,Beijing,白菜,2.47,1535,Sichuan
2020-01-14,Beijing,白菜,2.42,1636,Henan
2020-01-15,Beijing,白菜,2.68,1559,Sichuan
2020-01-16,Beijing,白菜,2.97,1362,Shandong
2020-01-17,Beijing,白菜,2.59,1669,Guangdong
2020-01-18,Beijing,白菜,2.86,1536,Shandong
2020-01-19,Beijing,白菜,2.77,1449,Sichuan
2020-01-20,Beijing,白菜,2.55,1544,Guangdong
2020-01-21,Beijing,白菜,2.39,1414,Guangdong
2020-01-22,Beijing,白菜,2.94,1316,Hebei
2020-01-23,Beijing,白菜,2.66,1418,Sichuan
2020-01-24,Beijing,白菜,2.75,1344,Sichuan
2020-01-25,Beijing,白菜,2.45,1786,Guangdong
2020-01-26,Beijing,白菜,3.02,1169,Sichuan
2020-01-27,Beijing,白菜,2.92,1357,Shandong
2020-01-28,Beijing,白菜,2.78,1633,Shandong
2020-01-29,Beijing,白菜,2.9,1309,Guangdong
2020-01-30,Beijing,白菜,3.08,1375,Henan
2020-01-31,Beijing,白菜,2.53,1581,Guangdong
2020-02-01,Beijing,白菜,3.19,1144,Henan
2020-02-02,Beijing,白菜,3.21,1221,Guangdong
2020-02-03,Beijing,白菜,2.86,1422,Shandong
2020-02-04,Beijing,白菜,2.9,1504,Henan
2020-02-05,Beijing,白菜,2.71,1435,Hebei
2020-02-06,Beijing,白菜,2.86,1302,Hebei
2020-02-07,Beijing,白菜,3.12,1353,Henan
2020-02-08,Beijing,白菜,2.76,1638,Sichuan
2020-02-09,Beijing,白菜,2.86,1471,Henan
2020-02-10,Beijing,白菜,2.84,1388,Sichuan
2020-02-11,Beijing,白菜,3.03,1203,Hebei
2020-02-12,Beijing,白菜,2.97,1469,Shandong
2020-02-13,Beijing,白菜,3.19,1328,Sichuan
2020-02-14,Beijing,白菜,2.94,1238,Hebei
2020-02-15,Beijing,白菜,3.42,1039,Sichuan
2020-02-16,Beijing,白菜,2.82,1379,Hebei
2020-02-17,Beijing,白菜,2.9,1298,Hebei
2020-02-18,Beijing,白菜,3.11,1373,Guangdong
2020-02-19,Beijing,白菜,2.84,1633,Sichuan
2020-02-20,Beijing,白菜,2.97,1239,Hebei
2020-02-21,Beijing,白菜,2.86,1307,Henan
2020-02-22,Beijing,白菜,2.71,1468,Sichuan
2020-02-23,Beijing,白菜,3.28,1350,Henan
2020-02-24,Beijing,白菜,3.11,1366,Sichuan
2020-02-25,Beijing,白菜,2.73,1536,Shandong
2020-02-26,Beijing,白菜,2.93,1470,Henan
2020-02-27,Beijing,白菜,2.81,1303,Shandong
2020-02-28,Beijing,白菜,3.02,1209,Henan
2020-02-29,Beijing,白菜,3.15,1193,Sichuan
2020-03-01,Beijing,白菜,3.0,1365,Sichuan
2020-03-02,Beijing,白菜,2.64,1349,Henan
2020-03-03,Beijing,白菜,2.91,913,Shandong
2020-03-04,Beijing,白菜,3.16,1216,Henan
2020-03-05,Beijing,白菜,2.82,1358,Guangdong
2020-03-06,Beijing,白菜,2.8,1791,Henan
2020-03-07,Beijing,白菜,3.24,1480,Sichuan
2020-03-08,Beijing,白菜,3.4,1135,Henan
2020-03-09,Beijing,白菜,2.91,1556,Henan
2020-03-10,Beijing,白菜,3.09,1210,Guangdong
2020-03-11,Beijing,白菜,2.47,1746,Sichuan
2020-03-12,Beijing,白菜,2.78,1550,Sichuan
2020-03-13,Beijing,白菜,3.02,1414,Hebei
2020-03-14,Beijing,白菜,2.87,1654,Sichuan
2020-03-15,Beijing,白菜,3.12,1160,Sichuan
2020-03-16,Beijing,白菜,3.24,1425,Hebei
2020-03-17,Beijing,白菜,3.06,1528,Guangdong
2020-03-18,Beijing,白菜,2.85,1220,Guangdong
2020-03-19,Beijing,白菜,3.06,1294,Sichuan
2020-03-20,Beijing,白菜,2.98,1289,Shandong
2020-03-21,Beijing,白菜,3.01,1196,Sichuan
2020-03-22,Beijing,白菜,3.04,1288,Sichuan
2020-03-23,Beijing,白菜,3.1,1200,Shandong
2020-03-24,Beijing,白菜,2.91,1588,Guangdong
2020-03-25,Beijing,白菜,2.99,1314,Henan
2020-03-26,Beijing,白菜,2.58,1689,Shandong
2020-03-27,Beijing,白菜,2.8,1450,Guangdong
2020-03-28,Beijing,白菜,2.82,1344,Hebei
2020-03-29,Beijing,白菜,2.94,1446,Hebei
2020-03-30,Beijing,白菜,2.98,1387,Hebei
2020-03-31,Beijing,白菜,2.84,1385,Hebei
2020-04-01,Beijing,白菜,2.92,1388,Hebei
2020-04-02,Beijing,白菜,2.96,1239,Hebei
2020-04-03,Beijing,白菜,3.04,1200,Hebei
2020-04-04,Beijing,白菜,2.69,1334,Guangdong
2020-04-05,Beijing,白菜,3.22,1155,Sichuan
2020-04-06,Beijing,白菜,2.63,1515,Guangdong
2020-04-07,Beijing,白菜,3.16,1169,Guangdong
2020-04-08,Beijing,白菜,2.89,1288,Guangdong
2020-04-09,Beijing,白菜,3.11,1275,Hebei
2020-04-10,Beijing,白菜,2.89,1553,Hebei
2020-04-11,Beijing,白菜,3.05,1197,Henan
2020-04-12,Beijing,白菜,2.77,1471,Sichuan
2020-04-13,Beijing,白菜,2.81,1262,Hebei
2020-04-14,Beijing,白菜,2.97,1460,Shandong
2020-04-15,Beijing,白菜,2.76,1478,Henan
2020-04-16,Beijing,白菜,3.36,1210,Guangdong
2020-04-17,Beijing,白菜,2.87,1527,Henan
2020-04-18,Beijing,白菜,3.06,1493,Hebei
2020-04-19,Beijing,白菜,2.88,1448,Shandong
2020-04-20,Beijing,白菜,3.14,1605,Hebei
2020-04-21,Beijing,白菜,2.86,1223,Henan
2020-04-22,Beijing,白菜,2.98,1382,Shandong
2020-04-23,Beijing,白菜,2.98,1440,Hebei
2020-04-24,Beijing,白菜,3.14,1271,Sichuan
2020-04-25,Beijing,白菜,2.95,1313,Shandong
2020-04-26,Beijing,白菜,2.93,1307,Hebei
2020-04-27,Beijing,白菜,2.99,1175,Hebei
2020-04-28,Beijing,白菜,2.98,1339,Henan
2020-04-29,Beijing,白菜,2.83,1454,Henan
2020-04-30,Beijing,白菜,2.84,1482,Henan
2020-05-01,Beijing,白菜,2.59,1564,Guangdong
2020-05-02,Beijing,白菜,3.16,1099,Sichuan
2020-05-03,Beijing,白菜,3.1,1374,Guangdong
2020-05-04,Beijing,白菜,3.02,1370,Henan
2020-05-05,Beijing,白菜,2.86,1264,Sichuan
2020-05-06,Beijing,白菜,2.83,1268,Henan
2020-05-07,Beijing,白菜,2.83,1473,Hebei
2020-05-08,Beijing,白菜,2.89,1427,Hebei
